575283,1412884,26
1423721,1412884,16
606785,1412884,26
579484,1412884,81
8884,1412884,9
647818,1412884,22
550382,1412884,65
587615,1412884,54
218678,1412884,15
1370792,1412884,432
1256228,1412884,15
1472587,1412884,62
591854,1412884,26
453429,1412884,15
572536,60984,27
613,60984,2
94059,60984,11
974799,60984,17
499559,60984,31
1171913,60984,37
386962,60984,6
1080665,60984,20
590472,60984,35
1136694,60984,86
40450,60984,8
1193054,1174238,5
1175645,1174238,15
611,1174238,20
1197391,1174238,253
218678,1174238,36
1202781,1174238,15
1205792,1174238,18
582224,1174238,276
1205920,1174238,76
1191648,1174238,15
40450,1174238,21
389109,1174238,6
968383,42876,52
581026,590592,214
576916,590592,144
701350,590592,15
518304,590592,13
584184,590592,95
575385,590592,66
195065,60060,14
161506,60060,14
1414374,928663,38
1044531,928663,4206
1141516,928663,130
1141404,928663,203
986561,928663,63
590615,928663,94
1141309,928663,175
1415146,928663,53
1415194,928663,86
1142334,928663,163
1141695,928663,55
1414436,928663,15
937484,928663,15
998736,928663,320
1416722,928663,38
1417777,928663,41
1141652,928663,129
1414325,928663,204
513900,928663,201
1250343,928663,15
1334404,928663,127
1003279,928663,23
565384,928663,195
1266222,928663,43
1142061,928663,132
1141713,928663,118
1416874,928663,32
1524492,928663,15
1492862,928663,15
1142511,928663,142
1143625,928663,139
1038240,928663,8
700087,928663,156
599077,928663,45
591854,928663,30
997682,928663,241
1415200,928663,60
1120235,928663,153
1142198,928663,146
1259228,928663,76
1177300,928663,13
1130352,928663,30
738481,928663,3607
1141461,928663,313
994196,928663,100
650047,928663,15
1229845,928663,2229
1141641,928663,144
1319857,928663,157
546589,928663,2131
1142371,928663,151
1275876,928663,15
1266214,928663,15
600860,928663,15
1057837,928663,13
1141564,928663,50
1143363,928663,157
738128,928663,15
833939,928663,1617
1142078,928663,162
1222885,928663,22
668,928663,424
660889,928663,226
725589,928663,16
1229960,928663,1353
665966,928663,25
585141,928663,235
592217,928663,44
1141183,928663,142
1143361,928663,129
1504775,928663,15
688991,928663,29
1414315,928663,35
825991,928663,124
584310,928663,221
590730,928663,37
513002,928663,15
986110,928663,63
1258732,928663,30
948235,928663,27
583445,928663,55
1143604,928663,103
1141170,928663,68
1143601,928663,111
8884,928663,45
1141211,928663,178
795513,928663,15
1415207,928663,25
1142475,928663,120
583273,928663,71
1141573,928663,41
583271,928663,315
1418061,928663,111
997978,928663,30
20989,928663,46
911,928663,12
1415349,928663,128
1141609,928663,133
1415260,928663,56
660831,928663,263
1196491,928663,646
941223,928663,42
1141513,928663,199
1141481,928663,277
1017026,928663,15
1414259,928663,30
1141370,928663,189
584128,928663,135
952802,928663,6
701979,928663,27
583594,928663,30
1038936,928663,19
107435,928663,21
1230034,928663,1396
687772,928663,1441
1415357,928663,18
1141101,928663,144
615355,928663,15
606785,928663,835
1218293,928663,4284
583162,928663,1342
1038278,928663,1078
1197391,928663,2942
985559,928663,199
1417774,928663,45
588060,928663,311
